,wt1,wt2,wt3,wt4,wt5,wt6,ko1,ko2,ko3,ko4,ko5,ko6
RNA5S16,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S15,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S14,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S13,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S12,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S11,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S2,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S10,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S8,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S1,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S3,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S5,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S4,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S6,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S7,0,0,0,0,0,0,0,0,0,0,0,0
RNA5S17,0,0,0,0,0,0,0,0,0,0,0,0
MIR7641-2,10,10,10,10,12,3,8,30,0,3,29,10
RNA5S9,0,0,0,0,0,0,0,0,0,2,0,0
RHOU,164,144,409,28,238,119,215,89,205,20,182,29
DUSP5P1,18,11,20,14,9,1,1,2,2,1,3,8
MIR4454,3,0,1,0,0,0,1,0,0,2,0,1
RAB4A,698,275,317,243,225,510,15,491,284,415,228,642
SPHAR,0,0,0,0,0,0,0,0,0,0,0,0
CCSAP,455,214,254,112,296,4,985,1278,995,1511,122,1721
ACTA1,0,2,5,15,8,0,1,7,14,23,10,22
NUP133,1162,823,72,454,641,733,915,116,894,576,1249,668
LOC101927478,1,0,0,0,2,2,1,5,4,0,3,0
ABCB10,135,170,103,157,57,207,169,291,7,210,286,29
TAF5L,541,297,94,201,454,387,314,635,572,251,49,161
URB2,289,271,2,4,25,241,53,164,352,120,228,258
GALNT2,1542,683,275,839,178,1668,1357,1732,84,1789,1066,1616
PGBD5,421,271,99,26,128,246,292,284,283,345,158,614
COG2,764,595,52,295,221,852,521,815,543,274,737,1016
AGT,65,62,33,1308,1242,1321,77,15,1136,20,14,45
CAPN9,0,0,0,1,1,0,6,2,7,4,0,0
C1orf198,369,604,238,556,716,1009,439,390,480,1119,215,778
LOC101927604,7,10,1,0,0,0,1,1,1,5,2,7
TTC13,813,281,367,355,241,444,68,370,645,1439,753,90
ARV1,374,147,431,167,355,317,75,228,108,395,334,37
FAM89A,18,10,14,10,3,18,5,15,9,15,13,14
MIR1182,0,0,0,0,0,0,0,0,0,0,0,0
TRIM67,706,45,779,982,152,487,937,217,49,2026,551,911
LOC149373,0,0,0,0,0,0,0,0,0,0,0,1
C1orf131,37,47,43,171,179,195,50,329,238,95,265,89
GNPAT,1091,769,170,746,887,884,740,362,169,740,81,849
EXOC8,306,460,394,224,523,118,330,50,908,273,485,216
SPRTN,219,176,222,102,8,247,193,304,89,237,16,94
EGLN1,1293,168,979,1903,1627,1933,201,575,722,1264,315,1400
SNRPD2P2,0,0,0,0,0,0,0,0,0,2,1,0
TSNAX-DISC1,7,3,16,1,4,2,5,0,1,10,14,2
TSNAX,321,162,90,273,239,172,166,118,188,319,125,72
LINC00582,0,0,0,0,0,0,0,0,0,0,0,0
DISC1,7,14,3,6,7,8,4,6,14,6,2,2
DISC2,0,0,0,0,0,0,0,0,0,0,0,0
DISC1-IT1,0,1,4,3,0,4,4,1,3,4,1,0
SIPA1L2,1204,2579,984,439,1846,1042,1414,1908,268,2840,1185,1787
LOC101927683,0,0,0,0,0,0,0,0,0,0,1,0
MAP10,59,43,67,50,140,72,38,70,25,107,5,139
NTPCR,164,53,700,241,169,11,108,240,65,257,223,214
PCNXL2,897,55,331,271,370,140,539,346,633,123,1418,1866
KIAA1804,41,61,98,112,127,130,176,74,32,171,176,18
KCNK1,5,19,6,7,11,1,10,12,28,39,21,34
MIR4427,0,0,0,0,0,0,0,0,1,0,0,0
SLC35F3,13,0,26,14,12,5,18,11,44,16,5,63
MIR4671,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927765,4,1,8,0,4,0,0,3,9,6,3,0
COA6,75,266,223,100,48,24,65,58,214,48,133,189
TARBP1,829,887,989,353,39,436,1086,96,1148,379,48,623
LINC01354,4,1,1,22,47,5,1,20,18,1,0,1
IRF2BP2,2144,2139,2564,1150,2958,2739,985,1447,3132,1148,923,57
LINC00184,2,1,2,0,2,0,0,0,1,0,0,2
LOC101927787,0,0,0,0,0,0,0,0,1,0,0,0
LINC01132,3,1,0,6,3,0,0,0,7,1,2,2
LOC101927851,0,0,0,0,0,0,0,0,0,0,0,3
LINC01348,0,0,0,0,0,1,0,2,0,0,0,0
TOMM20,1264,778,673,975,862,30,242,498,669,492,1296,747
SNORA14B,18,4,5,4,2,1,3,5,2,17,7,5
RBM34,1014,638,750,501,445,28,172,995,1002,352,585,739
ARID4B,3007,1558,2086,586,326,1723,1644,931,834,1737,781,361
MIR4753,0,0,0,0,0,0,0,0,0,1,1,5
GGPS1,36,258,360,94,95,180,44,375,145,550,28,210
TBCE,584,394,430,240,349,362,204,502,431,514,497,499
B3GALNT2,51,92,24,74,140,133,139,186,32,39,23,117
GNG4,1267,106,564,118,277,510,215,512,1766,70,1630,2044
LYST,377,1631,1425,849,1549,489,1325,644,1168,1837,1680,2798
MIR1537,5,5,0,4,1,0,0,0,0,3,0,6
NID1,236,1188,270,87,807,657,105,224,130,12,129,19
GPR137B,298,100,233,64,41,83,141,123,230,98,261,18
ERO1B,162,39,14,103,100,34,76,157,138,24,169,143
EDARADD,7,24,19,15,1,25,18,19,1,40,28,40
LGALS8,640,534,347,640,639,447,297,984,946,11,398,1038
LGALS8-AS1,1,1,2,3,0,1,10,3,2,1,3,3
HEATR1,1308,34,799,1156,407,807,30,227,468,1031,140,883
ACTN2,23,336,155,462,443,776,338,181,426,360,266,578
MTR,2759,2121,2526,429,1067,2195,1935,2383,2703,938,526,0
MT1HL1,0,0,0,0,0,0,0,0,0,0,0,0
RYR2,713,597,575,371,286,11,610,378,437,1161,925,634
MIR4428,0,0,0,0,0,0,0,0,1,0,0,0
LOC100130331,45,20,56,131,25,52,77,38,26,4,19,71
